Time,City,Id,parameter,value,status,valid
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,WD,-9999.0,0,False
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,StWd,-9999.0,0,False
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,O3,41.3,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NOX,3.5,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NO,0.6,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,NO2,2.9,1,True
2016-12-13T14:30:00+02:00,Kfar Shmuel,77,Rain,-9999.0,2,False
2025-01-19T21:00:00+02:00,Achisamach,78,SO2,0.9,1,True
2025-01-19T21:00:00+02:00,Achisamach,78,WS,0.2,1,True
2025-01-19T21:00:00+02:00,Achisamach,78,WD,122.0,1,True
2025-01-19T21:00:00+02:00,Achisamach,78,O3,11.0,1,True
2025-01-19T21:00:00+02:00,Achisamach,78,NOX,24.5,1,True
2025-01-19T21:00:00+02:00,Achisamach,78,NO,1.3,1,True
2025-01-19T21:00:00+02:00,Achisamach,78,NO2,23.3,1,True
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,SO2,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,WS,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,WD,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,O3,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,NOX,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,NO,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,NO2,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,Temp,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,RH,-9999.0,0,False
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,PM10,21.9,1,True
2025-01-19T21:15:00+02:00,Beit Hashmonai,367,PM2.5,13.7,1,True
2025-01-19T15:55:00+02:00,Yad Rambam New,338,SO2,0.7,1,True
2025-01-19T15:55:00+02:00,Yad Rambam New,338,NOX,7.1,1,True
2025-01-19T15:55:00+02:00,Yad Rambam New,338,NO,0.6,1,True
2025-01-19T15:55:00+02:00,Yad Rambam New,338,NO2,6.5,1,True
2025-01-19T15:55:00+02:00,Yad Rambam New,338,PM10,19.6,1,True
2025-01-19T15:55:00+02:00,Yad Rambam New,338,PM2.5,8.05,1,True
2025-01-19T21:15:00+02:00,Shchunat Haomanim,513,PM2.5,17.03,1,True
2025-01-19T21:15:00+02:00,Shchunat Haomanim,513,PM10,32.8,1,True
2025-01-19T21:15:00+02:00,Shchunat Haomanim,513,SO2,0.4,1,True
2025-01-19T21:15:00+02:00,Shchunat Haomanim,513,NO,0.6,1,True
2025-01-19T21:15:00+02:00,Shchunat Haomanim,513,NOX,20.0,1,True
2025-01-19T21:15:00+02:00,Shchunat Haomanim,513,NO2,19.4,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,SO2,1.6,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,NO,1.0,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,NOX,20.8,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,NO2,19.7,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,O3,19.1,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,PM10,43.4,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,Temp,12.6,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,RH,84.0,1,True
2025-01-19T21:15:00+02:00,Rehovot,32,Rain,0.0,1,True
2025-01-19T21:15:00+02:00,Rishon,139,NO,24.0,1,True
2025-01-19T21:15:00+02:00,Rishon,139,NOX,62.2,1,True
2025-01-19T21:15:00+02:00,Rishon,139,NO2,38.4,1,True
2025-01-19T21:15:00+02:00,Rishon,139,CO,1.4,1,True
2025-01-19T21:15:00+02:00,Rishon,139,PM2.5,27.2,1,True
